Meanings,English Definition,POS,J Translation
tiny,"very, very small",adj,とても小さい
tip,hint or clue,n,内密情報；ヒント，内報する；予想する
title,name given to something to identify or describe it,n,称号
tone,sound of a voice that reveals emotion or meaning,n,口調、調子
tongue,part of the body that tastes food; it is pink or red and is inside the mouth,n,舌
tool,"device used to make things, e.g. a hammer or driver",n,道具
topic,matter people talk or write about,n,話題；トピック
tough,Very difficult to do or deal with,adj,丈夫な；骨の折れる
tour,a journey to visit several places for pleasure,n,旅行
tourism,"traveling to new places, e.g. abroad, for vacations",n,観光
tourist,Someone who travels to a place for pleasure,n,観光客
tower,"tall, narrow building",n,塔；タワー
trace,"To find, describe or discover by investigation",verb,跡，跡を追う；探し出す
trade,"To buy, sell and exchange goods in business",verb,取引する
tradition,"way of thinking, behaving that used for a long time",n,伝統
traditional,Involved in a tradition,adj,伝統的な
traffic,amount of activity over a communication system,n,交通
transfer,To move something from one place to another,verb,移動する；転送する
trap,device used for catching animals,n,わな，わなで捕える
trial,Concerning or used in a TRIAL,n,裁判；審理
trick,To make someone think something that is not true,verb,いたずら；ごまかし，だます
truck,automotive vehicle suitable for hauling,n,トラック
tune,group of musical notes that make a nice sound,n,曲；音調
twin,Two children born from same mother at same time,n,双子
twist,To turn something in opposite directions at the same time,verb,ねじる，ねじれ
typical,normal; usual; expected,adj,典型的な
typically,in a normal or usual way,adv,典型的に
union,organization of workers to look after their needs,n,結合；組合；連合
unit,single thing or person; a part of something larger,n,単位；部署
unite,To join or come together for the same goal,verb,団結する；結合する
university,high-level educational institution; college,n,大学
unlikely,Not being likely to happen or not likely to be the truth,adv,～しそうにない
upper,Located above others of the same kind,adj,上の
upset,"Troubled, worried, or angry",adj,動揺した
valley,"long, low area between hills or mountains, often with a river running through it",n,谷
valuable,Being worth a lot of money,adj,値段が高い
value,To say how much money something is worth,verb,値段をつける
variable,Having the ability to change or vary,adj,変わりやすい
variation,Something almost the same as another but different,n,変化
various,several; consisting of different things or types,adj,様々な
vary,"To be changeable, both up and down",verb,変わる
vegetable,plant that is raised and eaten as food,n,野菜
vehicle,machine (such as a car) that is used to carry things,n,乗り物
version,particular form of something and other forms,n,版；バージョン
victim,person who is tricked or made to suffer,n,被害者；犠牲者
village,small town in the country,n,村
violent,done with force; likely to produce physical damage,adj,暴力的な
vote,"to make a choice for or against, as in an election",verb,投票する
voter,person who can vote in an election,n,投票者
wage,money paid to a worker for the hours they worked,n,賃金
wander,To move around without purpose,verb,歩き回る；さまよう
warn,To tell someone about possible danger,verb,警告する
weak (power),Having little power; not strong; easy to break,adj,弱い
weakness,"state, condition of not being powerful or strong",n,弱さ
weapon,Something that is used for fighting,n,武器
weird,Odd or unusual,adj,変な
welcome,friendly greeting to someone who has arrived,n,ようこそ，歓迎，歓迎する
western,"Coming from, found in, or facing towards the west",adj,西の
whereas,taking into consideration the fact that,conj,～である一方で
wing,part of an animal's body that is used for flying,n,翼
wipe, To clean or dry something with a cloth,verb,拭く
wire,"thin, flexible thread of metal",n,針金；ワイヤー
wise,knowledgeable about life; having good judgment,adj,賢い
witness, person who sees something happen,n,目撃者，目撃する
wound,physical injury especially that suffered in battle,n,傷，負傷させる
wrap,To cover something by winding a piece of material around it,verb,包む
abandon,to leave someone you should stay to take care of,verb,(人を)見捨てる;  あきらめる
abortion,A medical operation to end a pregnancy,n,流産；中絶
abroad,In or to a foreign country,adv,海外に
absence,"fact of not being present, or not existing",n,不在；欠席；不足
abstract,Concerning something that doesn't exist physically,adj,抽象的な;  理論的な
